title,author,description,cover_url,genres,year
Researchers at Risk,"Deborah L. Mulligan, Patrick Alan Danaher","This book explores the phenomenon of researchers at risk: that is, the experiences of scholars whose research topics require them to engage with diverse kind of dangers, uncertainties or vulnerabilities. This risk may derive from working with variously marginalised individuals or groups, or from being members of such groups themselves. At other times, the risk relates to particular economic or environmental conditions, or political forces influencing the specific research fields in which they operate. This book argues for the need to reconceptualise – and thereby to reimagine – the phenomenon of researchers’ risks, particularly when those risks are perceived to affect, and even to threaten the researchers. Drawing on a diverse and global range case studies including Aotearoa New Zealand, Australia, Balūchistān, Cyprus, and Germany, the chapters call for the need to identify effective strategies for engaging proactively with these risks to address precarity, jeopardy and uncertainty.",http://books.google.com/books/content?id=OB8SEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Education,2021
Beyond Identities: Human Becomings in Weirding Worlds,Jim Dator,"This book is an argument for moving beyond culturally/historically/ethnically/biologically-grounded identity as the necessary foundation of an authentic self. It highlights examples of people who are attempting to inhabit identities they feel are more appropriate to themselves, by deploring the damage done via claims about authentic identity. The sole theme of this book is “becoming beyond identity”. We are not fixed human beings but rather perpetually-dynamic human becomings. As intelligence is enabled or recognized beyond the merely human, we should welcome our continuing evolution from homosapiens, sapiens, into many varieties of intelligences on Earth and the cosmos. This book builds from tiny ripples into a tsunami of examples from conventional identity studies, to Confucian human becomings, to apotemnophilia, to DIY biohacking, to cyborgs, to artilects, to hiveminds, to intelligence in animals, plants and fungi from the Holocene through the beginnings of the precarious, climate change-driven Anthropocene Epoch, with hints far beyond and throughout the cosmos. From a lifetime of work in future studies, anticipation science and space studies, the author balances frank tales of his own experiences and beliefs concerning his uncertain and fluid identities with those of others who tell their stories. In addition to material from academic and popular sources, a few poems further illuminate the scene.",http://books.google.com/books/content?id=E5uGEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Philosophy,2022
The Psychology of Justice and Legitimacy,"D. Ramona Bobocel, Aaron C. Kay, Mark P. Zanna, James M. Olson","In response to the international turmoil, violence, and increasing ideological polarization, social psychological interest in the topics of legitimacy and social justice has blossomed considerably. This integrative volume illustrates the diversity and richness of research in the field, explaining how and why people make sense of injustice at all levels of analysis.",http://books.google.com/books/content?id=hfr_4pRi3gwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Mathematics,2011
The Films of Lars von Trier and Philosophy,"José A. Haro, William H. Koch","The films of Lars von Trier offer unique opportunities for thinking deeply about how Philosophy and Cinema speak to one another. The book addresses von Trier’s films in order of their release. The earlier chapters discuss his Golden Heart trilogy and USA: Land of Opportunities series by addressing issues of potential misogyny, ethical critique, and racial justice. The later chapters focus on his Depression Trilogy and address the undermining of gender binaries, the psychoanalytic meaning of the sacrifice of children and depression, and philosophical questions provoked by the depiction of the end of the world. Taken together, the volume explores the topics of Philosophical Psychology, Social Theory, Political Theory, Theories of the Self, Philosophy of Race, and Feminist Thought, and opens a conversation about von Trier’s important work.",http://books.google.com/books/content?id=G2SsDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Performing Arts,2019
"Self, Value, and Narrative",Anthony Rudd,"Anthony Rudd presents a striking new account of the self as an ethical, evaluative being. He draws on Kierkegaard's thought to present a case for an ancient and currently neglected view: that the tensions which are constitutive of selfhood can only be reconciled through the understanding of the self as guided by an objective Good.",http://books.google.com/books/content?id=J6VV61eT9kUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Philosophy,2012
Dailyom,Madisyn Taylor,"This inspirational book delivers messages of healing, awareness, and well-being. A companion to the popular Daily OM Website, it is a valuable guide that will enable you to find balance and wellness through conscious awareness. As you read these passages, which touch on topics including meditation, relationships, nature, and more, you'll see that they'll make the journey of your life much more meaningful. The gentle and affirming wisdom contained within these pages is intended to make each of your days a little happier, less stressful, and more satisfying. It will introduce you to elements of Mother Nature's majesty that you may never have noticed before, guide you as you discover the inward peace you've longed for, and inspire you to embrace change in every corner of your existence. As you open your mind to the possibilities contained within, you'll discover that the power to create a fulfilling and more purposeful life was in you all along.",http://books.google.com/books/content?id=AI4IFFsFe_EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Body, Mind & Spirit",2010
The Image of God,Eleonore Stump,"Eleonore Stump explores the role and value of suffering in human life by addressing the problem of evil in Christian ethics, the role of relationships in human flourishing, and the question of what constitutes one's true self.",http://books.google.com/books/content?id=Z81kEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Philosophy,2022
"Understanding and Dealing with Controlling, Intimidating and Manipulative Personalities",Martin J. Smith,"This book will examine at individuals who control, intimate, and manipulate in work, home, family, and social environments, using robust Psychological theory to comprehend and successfully tackle those who exhibit these behaviours. The focus of this book will be to look at general Personality theory together with more specific focus on the Dark Triad of personality traits and, from the Five Factor Model, the domain of Agreeableness vs Antagonism. This approach will build a greater understanding of a much broader form of controlling intimidating and manipulative personality type. The book will include both useable techniques as well as self-reflection exercises the reader can use or pass on to students, clients and service users. This book is based on a programme the author has been teaching for over twelve years to a range of audiences across a variety of roles and has also been highlighted frequently in the press over the past decade. Martin J Smith is a Senior Lecturer in the social sciences at Nottingham Trent University, UK, and an independent training consultant. He specialises in extreme difficult behaviour and personality issues which go well beyond simply awkward and often highly controlling, intimidating and manipulative. He has over thirty years training experience in communication, interpersonal skills and conflict management. He is also a psychotherapist specialising in the treatment of anxiety, depression, stress, phobias and post traumatic stress disorders with over 23 years clinical experience.",http://books.google.com/books/content?id=EmAeEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Control (Psychology),2024
Embodied Hot Cognitive Vulnerability to Emotional Disorders​,Alexandru Tiba,"The way we make sense of emotional situations has long been considered a foundation for the construction of our emotional experiences. Sometimes emotional meanings become distorted and so do our emotional experiences become disturbed. In the last decades, an embodied construction of emotional meanings has emerged. In this book, the embodied simulation framework is introduced for distorted emotional and motivational appraisals such as irrational beliefs, focusing on hyper-reactive emotional and motivational neural embodied simulations as core processes of cognitive vulnerability to emotional disorders. By embodying distorted emotional cognition we can extend the traditional views of the development of distorted emotional appraisals beyond learning from stress-sensitization process. Conclusions for the conceptualization of distorted emotional appraisals and treatment implications are discussed. Distorted emotional cognitions such as rigid thinking (I should succeed), awfulizing (It’s awful) and low frustration tolerance (I can’t stand it) are both vulnerabilities to emotional disorders and targets of psychotherapy. In this book, I argue that distorted emotional cognitions which act as proximal vulnerability to emotional disorders are embodied in hyper-reactive neural states involved in dysregulated emotions. Traditionally, excessive negative knowledge has been considered the basis of the cognitive vulnerability to emotional disorders. I suggest that the differences in the affective embodiments of distorted cognition confer its vulnerability status, rather than the differences in dysfunctional knowledge. I propose that negative knowledge and stress-induced brain changes conflate each other in building cognitive vulnerability to disturbed emotion. This model of distorted emotional cognition suggests new integration of learning and medication interventions in psychotherapy. This book is an important contribution to the literature given that a new model for the conceptualization of cognitive vulnerability is presented which extends the way we integrate biological, behavioral, and memory interventions in cognitive restructuring. This work is part of a larger project on embodied clinical cognition.",http://books.google.com/books/content?id=elf9DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Psychology,2020
Remembering the Falklands War,Sarah Maltby,"This book offers an empirically informed understanding of how identity and agency become wholly embedded within practices of media-remembering. It draws upon data collected from the British military, the BBC and Falkland Islanders during the 30th Anniversary of the Falklands war to uniquely offer multiple perspectives on a single ‘remembering’ phenomenon. The study offers an analysis of the convergence, interconnectedness and interdependence of media and remembering, specifically the production, interpretation and negotiation of remembering in the media ecology. In so doing it not only examines the role of media in the formation and sustaining of collective memory but also the ways those who remember or are remembered in media texts become implicated in these processes.",http://books.google.com/books/content?id=vfWODAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,2016
Men's Discourses of Depression,D. Galasinski,An original and timely study of men's experiences of depression in which the author tackles the discursively constructed relationship between the self and depression showing its linguistic and social complexity and analyses the relationship between depression and masculinity.,http://books.google.com/books/content?id=6hGHDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Language Arts & Disciplines,2008
Humanising Higher Education,"Camila Devis-Rozental, Susanne Clarke","This book explores humanising practice within higher education (HE). It provides a fresh perspective by bringing together expert voices with empirical experience of humanising theory and practice in various areas of higher education, in order to influence and improve the way in which universities work. The book draws on Todres et. al’s humanisation framework, as well other relevant theories such as positive organisational scholarship, Vygotsky’s socio-cultural theory and socio-emotional intelligence. Topics include micro elements of humanisation such as transitions and the student experience, and macro elements such as the policy impact of humanising HE and sustainability. The authors demonstrate how a humanising approach can provide the catalyst for wider change and help to improve wellbeing in the community. This book offers an invaluable resource for scholars interested in teaching and learning in HE, and for HE practitioners and policy makers keen to develop a more human practice.",http://books.google.com/books/content?id=f2cJEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Psychology,2020
Learner Narratives of Translingual Identities,Patrick Kiernan,"This book addresses translingual identities through an innovative multimodal analysis of the language learning histories of a class of advanced learners of English in Japan who grew up between two or more languages. The author explores both the translingual experiences of those in the classroom and how they use language and gesture when describing their experiences to each other. This approach uses three perspectives: it looks at the worlds and identities the interviewees construct for themselves; at their interpersonal communication; and at the way they frame their experience. Finally, it offers some lessons based on the observations of the class which reveal the values they share and the key to their success as language learners. It will appeal to applied linguistic and educational researchers, particularly those with an interest in narrative approaches to exploring educational contexts, as well as language educators and policy makers interested in gaining a learner perspective on language learning.",http://books.google.com/books/content?id=ATtpDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Language Arts & Disciplines,2018
"Moral Selves, Evil Selves",S. Hitlin,"This book highlights the oft neglected moral aspect of ""the self,"" examining the variety of neurological, psychological, and social processes that enter into the development and maintenance of moral orientations.",http://books.google.com/books/content?id=EUFaCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Psychology,2008
The Self in Understanding and Treating Psychological Disorders,"Michael Kyrios, Richard Moulding, Guy Doron, Sunil S. Bhar, Maja Nedeljkovic, Mario Mikulincer","A unique exploration of how the 'self' influences psychopathology, psychotherapy, emphasizing the need to integrate self-constructs into evidence-based conceptual models.",http://books.google.com/books/content?id=vFNyCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Medical,2016
Ego Psychology and Social Work Practice,Eda Goldstein,"While ego psychological theory still holds a pre-eminent position in clinical social work practice, the field has changed in many ways. This revised edition addresses these major changes, bringing the reader up to date.",http://books.google.com/books/content?id=hMmd3Rq13ZAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Medical,1995
Moral Certainty and the Foundations of Morality,Neil O'Hara,"What lies at the foundation of our moral beliefs? If we dig down far enough do we find that our moral values have no ground at all to stand on, and so are apt to collapse upon serious philosophical investigation? This book seeks to answer these and related questions by positing an indubitable foundation for our moral beliefs – they arise from the phenomenon of ‘primary recognition’, and are fundamentally shaped by ‘basic moral certainties’. Drawing on philosophers such as Ludwig Wittgenstein and Knud Ejler Løgstrup, this book draws together insights from both Analytic and Continental philosophy to provide a convincing new picture of our moral foundations. And it does so in a way that eschews moral conservativism and opens the way for a rich understanding of the variety and particularity of our human moral systems, while also keeping a significant place for those moral beliefs that occur universally, across cultures.",http://books.google.com/books/content?id=LZNRDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Philosophy,2018
The Mind Made Flesh,Nicholas Humphrey,"In a series of essays, Nicholas Humphrey invites us to take another look at a variety of central and not-so-central issues, of contemporary psychology including: the evolution of consciousness, multiple personality disorder and cave art.",http://books.google.com/books/content?id=AT0R7OevIJIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Psychology,2002
Remembering Home,Habib Chaudhury,"""This volume advances the goals of affirming the dignity of and reinforcing personhood in adults with debilitating memory loss. Environmental gerontologist Habib Chaudhury draws on research and fieldwork--along with the stories and actions of persons with dementia and their loved ones--to discuss dementia and the concept of self.""--Back cover.",http://books.google.com/books/content?id=QGK9L-VkxeoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Health & Fitness,2008
"Epistemology, Ethics, and Meaning in Unusually Personal Scholarship",Amber Esping,"This book uses Viktor Frankl’s Existential Psychology (logotherapy) to explore the ways some professors use unusually personal scholarship to discover meaning in personal adversity. A psychiatrist imprisoned for three years in Nazi concentration camps, Frankl believed the search for meaning is a powerful motivator, and that its discovery can be profoundly therapeutic. Part I begins with four stories of professors finding meaning. Using the case studies as a foundation, Part II investigates issues of epistemology and ethics in unusually personal research from an existential perspective. The book offers advice for graduate students and faculty who want to live and work more meaningfully in the academy.",http://books.google.com/books/content?id=lMJNDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Psychology,2018
Beautiful Minds,Marina Passalaris,"Everything a girl needs to know about: Confidence, self-esteem , friendships , fashion, make-up, smoking, boys and relationships, Food and nutrition, bullying, skin care, etiquette, social media sites, gratitude, mother/ daughter relationships, respecting yourself, first impressions, drugs and alcohol, hair styling, money and budgeting, fear, peer pressure, beating the blues, how to be happy, setting goals and more Beautiful Minds, a journey of self discovery, is about discovering who you are, how to get through your tricky teen years and how to put your best foot forward. Meet your new best friend!",http://books.google.com/books/content?id=ETP9p6Dm5TgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Family & Relationships,2012
The Art and Science of Trauma and the Autobiographical,Meg Jensen,"This book examines posttraumatic autobiographical projects, elucidating the complex relationship between the ‘science of trauma’ (and how that idea is understood across various scientific disciplines), and the rhetorical strategies of fragmentation, dissociation, reticence and repetitive troping widely used the representation of traumatic experience. From autobiographical fictions to prison poems, from witness testimony to autography, and from testimonio to war memorials, otherwise dissimilar projects speak of past suffering through a limited and even predictable discourse in search of healing. Drawing on approaches from literary, human rights and cultural studies that highlight relations between trauma, language, meaning and self-hood, and the latest research on the science of trauma from the fields of clinical, behavioral and evolutionary psychology and neuroscience, I read such autobiographical projects not as ‘symptoms’but as complex interrogative negotiations of trauma and its aftermath: commemorative and performative narratives navigating aesthetic, biological, cultural, linguistic and emotional pressure and inspiration.",http://books.google.com/books/content?id=VI2CDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Literary Criticism,2019
Beyond the Good Girl Jail,Sandra Felt,"Contrary to common theories, it is not only good to focus internally, but it's actually healthy to the point of being crucial to developing a loving, spiritual self. Here, Felt uniquely describes the process of that growth and how each step feels in vivid detail, utilizing right-brain language and poetry that emphasizes experiential maturation in addition to left-brain comprehension. Beyond the Good-Girl Jail is unique in that it is written from a neutral, encouraging, developmental point of view, rather than a mental health point of view, which is sometimes interpreted as judgmental and shaming. It is theoretical in the basics, yet practical. It is psychological, yet not steeped in pathological jargon. Part of the appeal of Felt's approach is her use of case examples and illustrations of the ""Self Principles"" in various common situations. When you listen from a deeper place, you hear a deeper truth. This stick-to-the-ribs book will have readers thinking long after reading it. They will not only remember the words and stories, but they will experience a shift in their language and a surprising growth in their choices.",http://books.google.com/books/content?id=mUmECgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Self-Help,2016
Epistemic Authority,Linda Trinkaus Zagzebski,"Gives an extended argument for epistemic authority from the implications of reflective self-consciousness. Epistemic authority is compatible with autonomy, but epistemic self-reliance is incoherent. The book argues that epistemic and emotional self-trust are rational and inescapable, that consistent self-trust commits us to trust in others, and that among those we are committed to trusting are some whom we ought to treat as epistemic authorities, modelled on the well-known principles of authority of Joseph Raz. Some of these authorities can be in the moral and religious domains. The book investigates the way the problem of disagreement between communities or between the self and others is a conflict within self-trust, and argue against communal self-reliance on the same grounds as the book uses in arguing against individual self-reliance. The book explains how any change in belief is justified--by the conscientious judgment that the change will survive future conscientious self-reflection. The book concludes with an account of autonomy. -- Información de la editorial.",http://books.google.com/books/content?id=xOYRDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Philosophy,2015
Boundaries and Relationships,Charles L. Whitfield,"More than personal boundaries, this book is really about relationships--healthy and unhealthy ones. Here bestselling author and psychotherapist Charles Whitfield blends theories and dynamics from several disciplines into practical knowledge and actions that your can use in your relationships right now. This comprehensive book opens with clear definitions and descriptions of boundaries, a self-assessment survey and a history of our accumulated knowledge. Going deeper, it describes the 10 essential areas of human interaction wherein you can improve your relationships. These include age regression, giving and receiving (projection and projective identification), triangles, core recovery issues, basic dynamics, unfinished business and spirituality. It shows in countless practical ways how knowledge of each of these is most useful in your recovery and everyday life.",http://books.google.com/books/content?id=lYqjAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Family & Relationships,1993
The Discarded Image,C. S. Lewis,"Hailed as ""the final memorial to the work of a great scholar and teacher and a wise and noble mind,"" this work paints a lucid picture of the medieval world view, as historical and cultural background to the literature of the Middle Ages and Renaissance.",http://books.google.com/books/content?id=WADDM36d3TAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,1994
Shivaji and His Times,Jadunath Sarkar,This book has been considered by academicians and scholars of great significance and value to literature. This forms a part of the knowledge base for future generations. We have represented this book in the same form as it was first published. Hence any marks seen are left intentionally to preserve its true nature.,http://books.google.com/books/content?id=EdtIxQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,History,2019
Oscar Wilde,Karl Beckson,"This set comprises 40 volumes covering 19th and 20th century European and American authors. These volumes will be available as a complete set, mini boxed sets (by theme) or as individual volumes. This second set compliments the first 68 volume set of Critical Heritage published by Routledge in October 1995.",http://books.google.com/books/content?id=gM6ahaflrHwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,1997
Undoing Gender,Judith Butler,"First Published in 2004. Routledge is an imprint of Taylor & Francis, an informa company.",http://books.google.com/books/content?id=Pepy2_OXEe4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,2004
METEOROLOGY,Aristotle,"�WE have already discussed the first causes of nature, and all natural motion, also the stars ordered in the motion of the heavens, and the physical element-enumerating and specifying them and showing how they change into one another-and becoming and perishing in general. There remains for consideration a part of this inquiry which all our predecessors called meteorology. It is concerned with events that are natural, though their order is less perfect than that of the first of the elements of bodies. They take place in the region nearest to the motion of the stars. Such are the milky way, and comets, and the movements of meteors. It studies also all the affections we may call common to air and water, and the kinds and parts of the earth and the affections of its parts. These throw light on the causes of winds and earthquakes and all the consequences the motions of these kinds and parts involve. Of these things some puzzle us, while others admit of explanation in some degree. Further, the inquiry is concerned with the falling of thunderbolts and with whirlwinds and fire-winds, and further, the recurrent affections produced in these same bodies by concretion. When the inquiry into these matters is concluded let us consider what account we can give, in accordance with the method we have followed, of animals and plants, both generally and in detail. When that has been done we may say that the whole of our original undertaking will have been carried out.�",http://books.google.com/books/content?id=FqK0DgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Philosophy,2017
History of India,,,,,1979
Archaeology of Orissa,"Kishor Kumar Basa, Pradeep Mohanty",Contributed articles.,http://books.google.com/books/content?id=elZuAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,History,2000
Fanshen,"William Hinton, Fred Magdoff","More than forty years after its initial publication, William Hinton’s Fanshen continues to be the essential volume for those fascinated with China’s revolutionary process of rural reform and social change. A pioneering work, Fanshan is a marvelous and revealing look into life in the Chinese countryside, where tradition and modernity have had both a complimentary and caustic relationship in the years since the Chinese Communist Party first came to power. It is a rare, concrete record of social struggle and transformation, as witnessed by a participant. Fanshen continues to offer profound insight into the lives of peasants and China’s complex social processes. Rediscover this classic volume, which includes a new preface by Fred Magdoff.",http://books.google.com/books/content?id=VcRxEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Business & Economics,2008
The White Woman's Other Burden,Kumari Jayawardena,"First Published in 1995. Routledge is an imprint of Taylor & Francis, an informa company.",http://books.google.com/books/content?id=hYSakXJIxOMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Biography & Autobiography,1995
Historical Dictionary of Afghanistan,"Thomas H. Johnson, Ludwig W. Adamec","Afghanistan is an extremely complex and nuanced country that has been one of the centers of imperial conflict at least for 150 years. From the Czarist Russia’s march south in the 19th Century threatening British India, three Anglo-Afghan Wars, the Soviet Invasion and occupation of Afghanistan starting in December 1979 and the resulting anti-Soviet Jihad by the Afghan Mujahideen to Kabul’s and their allies’ (U.S. and NATO) conflict with the Taliban, Afghanistan has been one of the centers of important international and regional conflicts and events. Historical Dictionary of Afghanistan, Fifth Edition contains a chronology, an introduction, and an extensive bibliography. The dictionary section has more than 1,000 cross-referenced entries on important personalities as well as aspects of the country’s politics, economy, foreign relations, religion, and culture. This book is an excellent resource for students, researchers, and anyone wanting to know more about Afghanistan.",http://books.google.com/books/content?id=TdgnEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,2021
Delusion and Dream: An Interpretation in the Light of Psychoanalysis of Gradiva,"Sigmund Freud, Wilhelm Jensen","In a circle of men who take it for granted that the basic riddle of the dream has been solved by the efforts of the present writer's curiosity was aroused one day concerning those dreams which have never been dreamed, those created by authors, and attributed to fictitious characters in their productions. The proposal to submit this kind of dream to investigation might appear idle and strange; but from one view-point it could be considered justifiable. It is, to be sure, not at all generally believed that the dreamer dreams something senseful and significant. Science and the majority of educated people smile when one offers them the task of interpreting dreams. Only people still clinging to superstition, who give continuity, thereby, to the convictions of the ancients, will not refrain from interpreting dreams, and the writer of Traumdeutung has dared, against the protests of orthodox science, to take sides with the ancients and superstitious. He is, of course, far from accepting in dreams a prevision of the future, for the disclosure of which man has, from time immemorial, striven vainly. He could not, however, completely reject the connections of dreams with the future, for, after completing some arduous analysis, the dreams seemed to him to represent the fulfilment of a wish of the dreamer; and who could dispute that wishes are preponderantly concerned with the future? I have just said that the dream is a fulfilled wish. Whoever is not afraid to toil through a difficult book, whoever does not demand that a complicated problem be insincerely and untruthfully presented to him as easy and simple, to save his own effort, may seek in the above-mentioned Traumdeutung ample proof of this statement, and may, until then, cast aside the objection that will surely be expressed against the equivalence of dreams and wish-fulfilment.",http://books.google.com/books/content?id=_UugBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction,2020
The European Rescue of the Nation-state,Alan S. Milward,"Newly revised and updated, this second edition is the classic economic and political account of the origins of the European Community book offers a challenging interpretation of the history of the western European state and European integration.",http://books.google.com/books/content?id=olR4LlXWmWgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Business & Economics,2000
Vishnu's Crowded Temple,Maria Misra,"As it enters its sixtieth year of independence, India stands on the threshold of superpower status. Yet India is strikingly different from all other global colossi. While it is the world’s most populous democracy and enjoys the benefits of its internationally competitive high-tech and software industries, India also contends with extremes of poverty, inequality, and political and religious violence. This accessible and vividly written book presents a new interpretation of India’s history, focusing particular attention on the impact of British imperialism on Independent India. Maria Misra begins with the rebellion against the British in 1857 and tracks the country’s advance to the present day. India’s extremes persist, the author argues, because its politics rest upon a peculiar foundation in which traditional ideas of hierarchy, difference, and privilege coexist to a remarkable degree with modern notions of equality and democracy. The challenge of India’s leaders today, as in the last sixty years, is to weave together the disparate threads of the nation’s ancient culture, colonial legacy, and modern experience.",http://books.google.com/books/content?id=5O1xmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,History,2007
Essays in Radical Empiricism,William James,"This vintage book comprises Henry James's seminal philosophical treatise, 'Essays in Radical Empiricism'. The ideas outlined within this text underpin James's work, and are key to understanding the mind of this most important of philosophical thinkers. This volume will be of considerable utility to the student of philosophy and those with a keen interest in this influential work. It makes for a veritable must-have for collectors of seminal philosophical works. The chapters of this book include: 'Does ‘consciousness’ Exist?', 'A World Of Pure Experience', 'The Thing And Its Relations', 'How Two Minds Can Know One Thing', 'The Place Of Affectional Facts In A World Of Pure Experience', 'The Experience Of Activity', etcetera. William James (1842 – 1910) was an American philosopher, psychologist, and trained physician. He is hailed as one of the most influential philosophers the United States has ever produced. We are republishing this book now complete with a specially commissioned new biography of the author.",http://books.google.com/books/content?id=6NN8CgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,2013
"Homer's Iliad, Books XX., XXI. and XXII., with Engl. Notes and a Literal Translation",Homerus,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. To ensure a quality reading experience, this work has been proofread and republished using a format that seamlessly blends the original graphical elements with text in an easy-to-read typeface. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",http://books.google.com/books/content?id=WoeivQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2018
Histories,Herodotus Herodotus,"Excerpt from Histories: Books VII to IX III. Darius had as yet reached no decision, when at this juncture there arrived at Susa Demaratus, son of Ariston. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",http://books.google.com/books/content?id=1NWDswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,History,2017
VANITY FAIR,"William Makepeace 1811-1863 Thackeray, William Allan 1869-1946 Neilson","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",http://books.google.com/books/content?id=aUgxvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,History,2016
"Gunpowder, Explosives and the State",Brenda J. Buchanan,"Gunpowder studies are still in their infancy despite the long-standing civil and military importance of this explosive since its discovery in China in the mid-ninth century AD. In this second volume by contributors who meet regularly at symposia of the International Committee for the History of Technology (ICOHTEC), the research is again rooted in the investigation of the technology of explosives manufacture, but the fact that the chapters range in scope from the Old World to the New, from sources of raw materials in south-east Asia to the complications of manufacture in the West, shows that the story is more than the simple one of how an intriguing product was made. This volume is the first to develop the implications of the subject, not just in the sense of relating it to changing military technologies, but in that of seeing the securing of gunpowder supplies as fundamental to the power of the state and imperial pretensions.The search for saltpetre, for example, an essential ingredient of gunpowder, became a powerful engine of sea-going European trade from the early seventeenth century. Smaller states like Venice were unable to form these distant connections, and so to sustain a gunpowder army. Stronger states like France and Britain were able to do so, and became even more powerful as the demand for improved explosives fostered national strengths - leading to a development of the sciences, especially chemistry, in the former case, and of manufacturing techniques in the latter.",http://books.google.com/books/content?id=G7qoDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,2016
Congress and the Raj,Donald Anthony Low,,,India,1977
